,notes,principal_freq,slope,dur
1749,tickling,96.2575,514.2886,0.019199999999983675
1750,tickling,95.79,517.5356,0.014300000000019963
1751,tickling,90.0098,655.5672,0.019100000000008777
1752,tickling,93.2958,-134.5994,0.017499999999984084
1753,tickling,95.9529,142.3311,0.014399999999994861
1754,tickling,98.1402,170.6064,0.03829999999999245
1755,tickling,110.1801,260.0919,0.028799999999989723
1756,tickling,112.0497,213.6139,0.009600000000006048
1757,tickling,101.5793,178.9767,0.03360000000000696
1758,tickling,96.4216,-160.6212,0.020699999999976626
1759,tickling,101.2667,10.3618,0.031999999999982265
1760,tickling,87.7489,-188.4293,0.011199999999973898
1761,tickling,106.5047,-67.6413,0.017600000000015825
1762,tickling,74.2245,-963.8839,0.031999999999982265
1763,tickling,98.4516,21.24,0.012800000000027012
1764,tickling,86.7924,180.8087,0.030300000000011096
1765,tickling,99.7542,-191.738,0.03839999999996735
1766,tickling,97.5166,225.2494,0.030299999999954252
1767,tickling,96.6947,-299.7297,0.015899999999987813
1768,tickling,108.4377,792.1302,0.030299999999954252
1769,tickling,99.4658,5.6627,0.04949999999996635
1770,tickling,71.875,-343.2924,0.04310000000003811
1771,tickling,80.0731,18.1775,0.017600000000015825
1772,tickling,93.1317,600.4361,0.03190000000000737
1773,tickling,108.9144,-62.1298,0.03999999999996362
1774,tickling,97.825,-308.0985,0.030300000000011096
1775,tickling,108.8022,-6637.062,0.007999999999981355
1776,tickling,94.6969,630.4485,0.030299999999954252
1777,tickling,109.9929,1076.9466,0.02240000000000464
1778,tickling,91.4227,132.7343,0.02240000000000464
1779,tickling,85.3592,223.0366,0.023899999999969168
1780,tickling,89.2559,122.2444,0.020799999999951524
1781,tickling,92.6604,550.2545,0.03350000000000364
1782,tickling,99.0798,-239.375,0.02240000000000464
1783,tickling,101.5762,254.8927,0.04310000000003811
1784,tickling,93.192,-353.6079,0.0543999999999869
1785,tickling,111.9341,404.6381,0.02389999999999759
1786,tickling,91.4541,151.9842,0.030299999999996885
1787,tickling,110.6243,-401.9826,0.008000000000009777
1788,tickling,71.256,-360.4977,0.03840000000000998
1789,tickling,97.1926,596.2956,0.03830000000000666
1790,tickling,93.7599,274.502,0.017600000000001614
1791,tickling,107.2072,212.5969,0.025500000000008072
1792,tickling,71.3586,-976.641,0.03509999999999991
1793,tickling,108.7529,379.6167,0.0367999999999995
1794,tickling,66.8818,-854.3644,0.0496000000000123
1795,tickling,64.2259,-243.0879,0.0478999999999985
1796,tickling,86.8833,214.5862,0.02400000000000091
1797,tickling,80.1676,79.2851,0.02559999999999718
1798,tickling,63.4423,-937.2935,0.043200000000013006
1799,tickling,59.3826,-588.1318,0.04470000000000596
1800,tickling,93.0963,-539.3361,0.04949999999999477
1801,tickling,85.4772,431.4839,0.028800000000003934
1802,tickling,96.5689,89.7704,0.04630000000000223
1803,tickling,103.8979,665.9383,0.031899999999993156
1804,tickling,90.1586,382.6602,0.0367999999999995
1805,tickling,84.0724,360.3053,0.028800000000003934
1806,tickling,90.949,151.1285,0.044699999999991746
1807,tickling,87.2068,357.4342,0.014399999999994861
1808,tickling,87.6687,294.8916,0.0367999999999995
1809,tickling,96.4435,13.0272,0.01279999999999859
1810,tickling,93.1397,211.2521,0.008000000000009777
1811,tickling,85.9528,-154.9976,0.02559999999999718
1812,tickling,89.1952,-844.0408,0.0478999999999985
1813,tickling,96.5807,-181.4505,0.019200000000012096
1814,tickling,88.9213,145.9271,0.011199999999973898
1815,tickling,107.7507,-2.0554e-12,0.007900000000006457
1816,tickling,96.5754,175.0084,0.04159999999998831
1817,tickling,105.7955,618.1327,0.019200000000012096
1818,tickling,70.6297,360.8204,0.03999999999999204
1819,tickling,96.5624,153.9215,0.03829999999999245
1820,tickling,80.1703,259.3019,0.02240000000000464
1821,tickling,70.2264,13.8438,0.0654999999999859
1822,tickling,98.1391,72.4513,0.03829999999999245
1823,tickling,94.6927,670.1742,0.01279999999999859
1824,tickling,100.0122,-130.9801,0.01120000000000232
1825,tickling,96.8903,9.6604,0.028799999999989723
1826,tickling,107.6471,55.9473,0.02400000000000091
1827,tickling,96.4705,173.4488,0.028700000000014825
1828,tickling,89.7194,-750.5182,0.05760000000000787
1829,tickling,81.2062,-374.7814,0.052700000000015734
1830,tickling,88.7564,385.7057,0.03830000000002087
1831,tickling,95.6339,-371.19,0.043100000000009686
1832,tickling,97.5013,421.5127,0.043099999999981264
1833,tickling,79.8688,-175.8674,0.006400000000013506
1834,tickling,96.9095,35.9981,0.05910000000000082
1835,tickling,85.6345,502.9034,0.028700000000014825
1836,tickling,91.8894,90.0381,0.03839999999999577
1837,tickling,79.6974,-237.5041,0.019200000000012096
1838,tickling,80.33,43.2153,0.028799999999989723
1839,tickling,84.3857,195.4082,0.006300000000010186
1840,tickling,110.3322,254.0307,0.01279999999999859
1841,tickling,96.5739,385.857,0.030300000000011096
1842,tickling,94.6626,388.2225,0.014399999999994861
1843,tickling,95.6407,208.3094,0.02559999999999718
1844,tickling,109.2364,144.3533,0.028799999999989723
1845,tickling,99.076,111.3488,0.028799999999989723
1846,tickling,97.046,44.6647,0.007999999999981355
1847,tickling,74.6989,-1223.7265,0.03829999999999245
1848,tickling,94.3908,309.1002,0.01599999999996271
1849,tickling,106.8817,529.2829,0.030399999999985994
1850,tickling,99.9981,263.1754,0.044699999999977535
1851,tickling,103.9124,501.4706,0.02240000000000464
1852,tickling,112.6578,255.5883,0.028700000000014825
1853,tickling,97.881,135.9939,0.03360000000003538
1854,tickling,106.1019,764.1747,0.02070000000003347
1855,tickling,86.2646,149.7441,0.020800000000008367
1856,tickling,96.8853,426.2247,0.027100000000018554
1857,tickling,105.0317,-194.5352,0.04149999999998499
1858,tickling,96.408,189.8128,0.01439999999996644
1859,tickling,67.9787,-179.7755,0.014400000000023283
1860,tickling,95.0091,649.3861,0.03669999999999618
1861,tickling,67.1974,1000.276,0.04790000000002692
1862,tickling,99.2355,256.9965,0.03360000000000696
1863,tickling,84.6926,-350.9734,0.031999999999996476
1864,tickling,108.443,866.2381,0.020800000000008367
1865,tickling,96.891,29.0639,0.020799999999994156
1866,tickling,69.0603,-1226.0134,0.041499999999999204
1867,tickling,89.0736,-633.0006,0.02400000000000091
1868,tickling,96.1048,629.1714,0.020800000000008367
1869,tickling,82.5799,-206.6575,0.05910000000000082
1870,tickling,91.6606,206.2835,0.05109999999999104
1871,tickling,83.6997,-74.2643,0.0478999999999985
1872,tickling,92.8245,203.6397,0.041500000000013415
1873,tickling,94.6562,221.8567,0.05270000000000152
1874,tickling,60.3185,1363.805,0.03190000000000737
1875,tickling,97.8261,170.3394,0.01269999999999527
1876,tickling,82.8251,191.5093,0.027100000000004343
1877,tickling,93.9092,607.6405,0.031999999999996476
1878,tickling,59.0704,-1063.8252,0.028700000000000614
1879,tickling,76.5736,-371.2756,0.006399999999999295
1880,tickling,67.8184,-1255.1986,0.030400000000000205
1881,tickling,99.7159,-219.8879,0.020799999999994156
1882,tickling,63.7553,-260.7946,0.03839999999999577
1883,tickling,93.7603,548.2415,0.043099999999995475
1884,tickling,88.911,441.1488,0.015999999999991132
1885,tickling,87.9297,315.7598,0.05280000000000484
1886,tickling,59.6044,-804.7235,0.0478999999999985
