,notes,principal_freq,slope,dur
2209,tickling,4.0832,-13.8988,0.08310000000000173
2210,tickling,4.8951,-0.60905,0.055900000000008276
2211,tickling,4.5583,-36.4351,0.08310000000000173
2212,tickling,4.2486,-35.9987,0.14379999999999882
2213,tickling,4.914,-14.0686,0.14060000000000628
2214,tickling,2.8708,-34.6593,0.09909999999999286
2215,tickling,4.8109,-33.7295,0.1325999999999965
2216,tickling,6.8332,-67.1309,0.12299999999999045
2217,tickling,3.5074,-47.051,0.1103000000000236
2218,tickling,5.9121,-35.6836,0.08630000000002269
2219,tickling,4.5119,-10.8395,0.057499999999976126
2220,tickling,6.1587,-23.5093,0.15819999999999368
2221,tickling,6.131,-7.9484,0.09430000000000405
2222,tickling,4.6688,-18.4061,0.13419999999999277
2223,tickling,5.0409,-50.9817,0.08789999999999054
2224,tickling,5.5899,-38.1783,0.10699999999999932
2225,tickling,6.4435,-54.6447,0.06870000000000687
2226,tickling,5.8037,-13.343,0.1518000000000086
2227,tickling,4.3835,-15.5777,0.14699999999999136
2228,tickling,5.4584,-23.2768,0.16610000000000014
2229,tickling,6.246,-59.8876,0.07029999999997472
2230,tickling,5.3097,-29.4603,0.07509999999996353
2231,tickling,0.3122,-2.5489e-16,0.05440000000004375
2232,tickling,5.3404,17.755,0.05910000000000082
2234,tickling,0.37723,-60.6265,0.06869999999997844
2235,tickling,4.6829,108.2927,0.044699999999977535
2236,tickling,0.34136,1.6018,0.07349999999996726
2237,tickling,3.2192,-15.7931,0.07990000000000919
2239,tickling,4.0209,-68.0416,0.07829999999995607
2240,tickling,6.1751,-71.5468,0.07670000000001664
2241,tickling,4.7096,-54.9374,0.09100000000000819
2242,tickling,4.9415,7.1305,0.08629999999999427
2243,tickling,5.4202,-12.8751,0.12779999999997926
2244,tickling,4.2412,-43.7223,0.1038000000000352
2245,tickling,0.3122,-7.9413,0.06709999999998217
2246,tickling,3.7463,-10.4488,0.07819999999998117
2247,tickling,0.3122,-4.2816,0.05600000000004002
2248,tickling,0.37332,-6.9254,0.12620000000003984
2249,tickling,3.8172,-0.75334,0.2044999999999959
2250,tickling,4.5134,9.8625,0.15499999999997272
2251,tickling,4.3266,23.7173,0.06709999999998217
2252,tickling,4.84,33.0311,0.13419999999996435
2253,tickling,4.31,1.4999,0.09750000000002501
2254,tickling,4.8255,-19.5293,0.13269999999999982
2255,tickling,4.9581,27.7271,0.09110000000003993
2258,tickling,5.3209,-8.1507,0.11019999999996344
2259,tickling,1.711,-29.0297,0.09430000000003247
2260,tickling,0.3122,6.7711e-16,0.0735000000000241
2261,tickling,4.8257,-1.2665,0.07349999999996726
2264,tickling,5.7067,-32.1229,0.10379999999997835
2265,tickling,4.7554,-9.9327,0.12149999999996908
2266,tickling,4.5047,-7.8008,0.07670000000001664
2267,tickling,2.6833,-31.5873,0.12459999999998672
2268,tickling,0.3122,-120.3022,0.05110000000001946
2269,tickling,4.6352,-16.7805,0.10230000000001382
2270,tickling,5.0588,-31.6874,0.0958999999999719
2271,tickling,4.8468,-19.8044,0.08149999999994861
