,cluster,duration,Principal frequency [kHz],Slope [kHz/s],Frequency standard deviation [kHz]
178,2,0.007382812499997726,75.18383293452227,-30.113882823470092,4.2581931689882415
179,2,0.0071640625000100044,87.54801085501008,1116.463672368478,5.483903676008997
180,2,0.016894531250045475,51.30000748386272,384.7231028514679,3.3308496432603762
181,2,0.006308593750020464,41.21730149921618,1065.2356859962126,14.882170633683893
182,2,0.006437500000060936,68.06688979512828,-550.7183840657881,1.347678900418373
183,2,0.014343750000080037,39.339094569382155,-2394.658519621861,12.300890073799625
184,2,0.017445312500058208,51.809524095975426,-1357.113644197221,14.604087702697198
185,2,0.0184609374999809,61.710379791259776,-825.3423721262258,7.706491401291057
186,2,0.01806250000004184,55.10298460243392,-1950.443866930816,12.176133275203204
187,2,0.01257812500000455,66.63534190736968,-980.0397372684492,6.849629155583884
188,2,0.034804687500013635,71.72132626701806,-1157.8496889535008,18.05161005555044
189,2,0.05443750000006276,32.991387856257745,395.7533079933216,10.761921388972196
190,2,0.03625781249991178,70.08883339720346,275.1653167355831,7.509161147485919
191,2,0.01449218749996817,63.923318417272824,-1262.369584878334,8.468842179019216
192,2,0.006562499999972715,69.19454111629625,-1103.6129017891953,3.758454173310728
193,2,0.041460937500005464,63.73323352857568,-233.1478986457378,4.978561546176918
194,2,0.005781250000040927,71.33977444539934,-1053.0808602591503,2.95216001884512
195,2,0.01662500000009004,66.80512400821172,-7.521790283047942,5.591761571561186
196,2,0.004855468749951797,58.415003587034505,2153.2234560940465,5.707492774603369
197,2,0.0087890625,31.364156133829002,-3663.543308641983,10.81402379154506
198,2,0.01019531249994543,65.02453000531071,298.7450922726266,2.178715319923421
199,2,0.025417968750048203,68.88611290959402,1.9866594585069879,1.362900237248364
200,2,0.01617187500005457,71.82115434056564,-1084.5097437885406,7.570921598966646
201,2,0.01160156250000455,58.95264660019473,-694.7219820269922,2.995696614984099
202,2,0.02005078125000637,71.55100091655602,59.23754211475317,1.6874552909053429
203,2,0.024406249999969987,65.39949000965466,-385.71091337984205,4.285479743397569
204,2,0.012867187499978172,70.44355099401972,325.3116569453589,2.631443868082398
205,3,0.0040039062499772635,69.72598079907604,-753.7715232908231,1.8846758385215503
206,3,0.001921874999993633,69.75720826910873,3032.2691519598106,9.4807764075648
207,2,0.012359375000073669,67.56908302354398,3059.4123669571745,20.45884183502014
208,3,0.0025781250000136424,58.18143494064744,287.5394875394875,1.2831103775462325
209,2,0.013609374999987269,59.03131626049843,-1084.8419684240582,6.902622709836344
210,3,0.0035390624999536158,69.3848072784191,-305.93038888612165,8.917686281261592
211,2,0.01087500000005548,52.0947107138093,162.56571497613137,18.320420126238112
212,2,0.012152343749995964,26.374267651083695,-46.743896021681785,2.8087219067469307
213,2,0.01223437499999136,52.43467806954669,-1144.4494083455957,7.374140507946651
214,3,0.0033281249999959073,51.94450098317821,-1844.2402667754789,2.7206028569374854
215,3,0.0037109374999886313,88.29499664306641,-726.1606648199464,1.1001217090394624
216,3,0.0030468749999954525,81.23524678936441,-1924.133881385788,3.0602903780558117
217,2,0.007406250000030924,53.80763915822475,-153.13785183998326,3.7805907172995776
218,2,0.009343750000027741,61.486295566043346,-518.0083573532584,2.0171941690275634
219,3,0.0024999999999977267,57.94888475836432,-2228.5714285714425,2.588435821108957
220,2,0.011835937500052296,60.90628105561486,-2972.6117932776983,11.994154043959472
221,2,0.008750000000020464,68.12210028512138,-160.21768707482974,1.3714285714285714
222,2,0.006687499999998181,55.69782855011696,-533.6985149245638,1.726584945172564
223,2,0.00749999999999318,63.16190567016603,-1054.9450549450567,2.9239944578852386
224,2,0.004785156249965894,39.46808936379173,-177.31601731601737,1.289316742440609
225,2,0.006890625000039563,46.76923231094602,-1089.4089984352963,3.5046169045159576
226,2,0.007558593749990905,64.1562890272874,-1832.9617245060642,5.077542932010783
227,2,0.004999999999995453,62.2505500793457,-1194.666666666666,3.5876330792196565
228,2,0.015363281250017737,70.58449171130783,151.89881511277105,2.13566849921088
229,2,0.008328125000048203,67.81953030097776,-910.3947807100693,2.9180248167805427
230,3,0.003992187499989086,69.72699795030567,-695.4221733730087,1.2398584656421654
231,2,0.006601562500009095,68.90410482703824,-1281.31007340253,8.731492694349589
232,2,0.01815625000000409,64.41237534672379,-255.98773514140822,1.9486781843156848
233,2,0.017609375000006366,66.99552338211625,23.664039546509198,4.134464145953846
234,2,0.006785156249975444,57.92973661914314,-200.03815425000172,0.7522806928489159
235,2,0.00638671875003638,63.19616424467728,3191.114163763917,18.598171064439335
236,2,0.03146484374997272,64.03907309638129,-466.22674419551055,6.604396743605371
237,2,0.02167968750001137,65.44038593876469,119.08946236691703,2.0209575942565228
238,2,0.011289062499997726,58.06516357332642,-227.31034063329759,2.3164709530419287
239,2,0.00847656249999318,69.08797188855092,-354.4950901277038,1.881453047960825
240,2,0.005578124999999545,44.637720015442476,-267.3411112017623,2.773504915008377
241,2,0.010968750000017735,55.29713996352663,-231.23059050471642,2.650204096763086
242,2,0.008101562500030468,47.91566315317542,1007.6631731318894,4.039368256661753
243,2,0.01684375000002092,82.90731821431744,-224.06965598214194,3.6922361902451657
244,2,0.006433593749989086,81.00653308370839,-1484.0579710144918,3.9352029561686117
245,3,0.00339843749998181,72.90842492239815,2244.4888576120106,3.605579349976865
246,3,0.004156249999994088,84.11520819570505,-2046.4232476616364,3.1620557219072607
247,2,0.013878906249999544,64.21880380539667,52.85942128047388,1.6876950070690693
248,2,0.0065625000000295594,64.85617205831952,-1176.5790440562516,3.86653348468599
249,2,0.00832031250001819,60.93807354779311,-410.1378222385958,1.9719459581313228
250,2,0.007765624999933606,65.79731427706203,-1132.2302570209588,3.3703733697803187
251,4,0.02018750000002001,67.46172630699881,369.7210126332078,4.845425325937242
252,3,0.0025000000000545697,61.45522192250128,-763.2298136645959,1.330341408650455
253,2,0.007703125000034561,93.14774439885065,-1691.8119226222132,4.753511823011911
254,2,0.01539843750003911,69.8608066013881,1336.3286695995425,9.410529409641391
255,2,0.053210937500011816,6.189119416417997,-43.008251494300836,2.6006164213206557
256,2,0.013656249999996815,71.88917279630094,-575.7898436149798,2.786373452548349
257,3,0.0032812499999863576,48.046587453086,-1319.0033409813655,2.246800961770994
258,3,0.0026757812500477485,59.025588682968255,-4057.939126189952,4.412064309486285
259,2,0.08146484375004093,6.217572197748384,-5.0249198951691305,4.249845149698438
260,2,0.044308593750031385,52.42957338496069,-307.7647874040901,5.469286357387563
261,2,0.018164062500034103,69.86080648960211,102.94635725620078,2.5698592277263548
262,2,0.0059414062499740785,66.60633513506721,-864.0529907498221,2.2741094982423684
263,2,0.013671875,68.05587840159964,87.00527629539913,4.362667142006263
264,2,0.01434375000002319,53.131493861500815,-413.1085131468667,2.122336462285956
265,2,0.011429687499969532,78.00910563283152,116.06139315230251,2.394574178225528
266,2,0.012750000000039565,50.004587406065404,-15.76103387808703,1.1846971917118612
267,2,0.03191406249993633,59.39686486608695,120.2166315942488,4.549929146526186
268,2,0.009363281249989086,36.13558312536965,702.1679569031227,3.5841074384694265
269,2,0.01025390625,69.13071635097658,-2441.160639222753,9.642052119177864
270,2,0.014765625000109141,43.19269985399748,-101.55794855074262,1.3511907504940228
271,3,0.00407421875002001,64.99555597941081,-1204.3208692873104,2.4957004297232137
272,2,0.02193750000003547,54.632724700431645,202.94856845388236,3.9744117261916334
273,2,0.016523437500040927,36.47920212897311,-61.195951637653856,1.3582603642654725
274,5,0.0071562500000013065,18.89931523696236,66.44190517621165,1.4623673678253737
275,3,0.0019687500000031832,52.20639852088267,204.77440319958768,3.1551447367556085
276,2,0.012656249999992042,55.14888201113101,-156.45317509037642,4.782387872286616
277,2,0.014917968750012278,59.162031154821406,-125.80545148456896,2.9038103413581564
278,2,0.008585937500015461,41.720975766516034,300.49187720192117,3.3236354563609765
279,2,0.0162499999999568,50.51165432663438,136.2200162481105,4.044339295941094
280,2,0.008804687500003183,67.5859450822995,-689.4151485811079,2.9843943715219057
281,2,0.03414062499996362,46.01452425906533,-1512.5966849401755,23.23111305795934
282,2,0.005250000000046384,67.80501590254744,-981.0087348548883,2.78571379764436
283,2,0.006992187500031832,55.27912199232314,-28.698640409792137,0.6583609598382589
284,2,0.014624999999966803,63.04582385753656,-2870.0472010541785,13.635287971294133
285,2,0.008671875000004547,46.73015894208636,-3224.549967407109,9.08656137753102
286,3,0.0036328125000295594,69.0020570602009,161.502254860888,1.8195989025199584
287,0,0.005929687499985903,23.63128333602716,-43.23233474661703,0.7011514861620448
